ts_code,trade_date,open,high,low,close,vol
000008.SZ,20190801,3.61,3.63,3.6,3.61,86517.0
000008.SZ,20190802,3.58,3.61,3.55,3.6,162564.35
000008.SZ,20190805,3.59,3.62,3.57,3.61,111800.56
000008.SZ,20190806,3.59,3.6,3.55,3.57,243273.52
000008.SZ,20190807,3.58,3.61,3.56,3.56,82670.66
000008.SZ,20190808,3.57,3.59,3.52,3.53,102759.68
000008.SZ,20190809,3.53,3.55,3.49,3.5,148590.0
000008.SZ,20190812,3.49,3.51,3.48,3.51,79571.97
000008.SZ,20190813,3.49,3.5,3.44,3.45,107763.4
000008.SZ,20190814,3.46,3.49,3.46,3.47,74722.77
000008.SZ,20190815,3.4,3.45,3.37,3.44,82062.67
000008.SZ,20190816,3.45,3.48,3.42,3.47,90471.12
000008.SZ,20190819,3.48,3.55,3.48,3.55,129174.39
000008.SZ,20190820,3.55,3.57,3.53,3.54,92486.98
000008.SZ,20190821,3.55,3.56,3.5,3.52,108914.72
000008.SZ,20190822,3.52,3.52,3.49,3.51,73534.73
000008.SZ,20190823,3.5,3.51,3.49,3.5,68079.15
000008.SZ,20190826,3.45,3.46,3.43,3.45,84361.0
000008.SZ,20190827,3.46,3.52,3.45,3.5,122045.83
000008.SZ,20190828,3.5,3.5,3.47,3.49,67708.92
000008.SZ,20190829,3.49,3.51,3.47,3.48,89754.9
000008.SZ,20190830,3.5,3.51,3.42,3.46,113764.0
000008.SZ,20190902,3.45,3.51,3.43,3.5,131458.97
000008.SZ,20190903,3.51,3.58,3.5,3.57,205024.82
000008.SZ,20190904,3.58,3.66,3.57,3.64,240841.17
000008.SZ,20190905,3.66,3.69,3.63,3.64,264029.19
000008.SZ,20190906,3.64,3.67,3.6,3.64,167807.26
000008.SZ,20190909,3.66,3.68,3.61,3.66,209498.56
000008.SZ,20190910,3.68,3.7,3.65,3.7,198162.31
000008.SZ,20190911,3.72,3.73,3.67,3.69,145649.54
000008.SZ,20190912,3.69,3.7,3.63,3.69,147354.78
000008.SZ,20190916,3.68,3.69,3.66,3.68,135597.54
000008.SZ,20190917,3.67,3.67,3.57,3.57,218920.02
000008.SZ,20190918,3.56,3.63,3.56,3.59,117163.98
000008.SZ,20190919,3.6,3.62,3.57,3.6,101093.29
000008.SZ,20190920,3.66,3.96,3.66,3.96,883296.48
000008.SZ,20190923,3.99,4.25,3.9,4.03,1625693.79
000008.SZ,20190924,3.98,3.99,3.85,3.88,898590.85
000008.SZ,20190925,3.84,3.84,3.75,3.75,478113.96
000008.SZ,20190926,3.74,3.77,3.47,3.47,999814.08
000008.SZ,20190927,3.47,3.57,3.44,3.48,969798.57
000008.SZ,20190930,3.48,3.49,3.4,3.43,424191.67
000008.SZ,20191008,3.44,3.46,3.41,3.43,254113.63
000008.SZ,20191009,3.43,3.44,3.37,3.43,259226.26
000008.SZ,20191010,3.42,3.49,3.41,3.48,262370.65
000008.SZ,20191011,3.49,3.52,3.45,3.51,257118.07
000008.SZ,20191014,3.55,3.59,3.54,3.58,386196.3
000008.SZ,20191015,3.6,3.64,3.55,3.59,394369.72
000008.SZ,20191016,3.6,3.62,3.54,3.56,289510.4
000008.SZ,20191017,3.56,3.59,3.52,3.59,248367.34
000008.SZ,20191018,3.58,3.6,3.53,3.54,215458.81
000008.SZ,20191021,3.5,3.58,3.47,3.55,227450.71
000008.SZ,20191022,3.56,3.61,3.54,3.59,224326.1
000008.SZ,20191023,3.6,3.61,3.49,3.52,310228.43
000008.SZ,20191024,3.51,3.56,3.47,3.53,212353.05
000008.SZ,20191025,3.55,3.56,3.5,3.56,174074.92
000008.SZ,20191028,3.54,3.59,3.54,3.58,238839.35
000008.SZ,20191029,3.58,3.58,3.52,3.52,211305.2
000008.SZ,20191030,3.51,3.52,3.44,3.45,218204.21
000008.SZ,20191031,3.44,3.47,3.42,3.43,164355.59
000008.SZ,20191101,3.43,3.48,3.42,3.48,140835.63
000008.SZ,20191104,3.48,3.5,3.44,3.46,149694.89
000008.SZ,20191105,3.46,3.48,3.43,3.45,137577.03
000008.SZ,20191106,3.44,3.46,3.4,3.43,152337.16
000008.SZ,20191107,3.41,3.45,3.41,3.43,109677.37
000008.SZ,20191108,3.45,3.46,3.42,3.43,113217.37
000008.SZ,20191111,3.43,3.43,3.37,3.37,171450.81
000008.SZ,20191112,3.37,3.39,3.31,3.36,170797.57
000008.SZ,20191113,3.34,3.36,3.31,3.33,114989.0
000008.SZ,20191114,3.34,3.37,3.34,3.35,102709.21
000008.SZ,20191115,3.36,3.36,3.32,3.32,115501.99
000008.SZ,20191118,3.32,3.34,3.31,3.33,106925.57
000008.SZ,20191119,3.36,3.49,3.35,3.43,219959.79
000008.SZ,20191120,3.43,3.44,3.4,3.42,131683.7
000008.SZ,20191121,3.42,3.42,3.37,3.39,89789.78
000008.SZ,20191122,3.41,3.46,3.4,3.42,186423.54
000008.SZ,20191125,3.44,3.53,3.44,3.5,237752.63
000008.SZ,20191126,3.49,3.52,3.46,3.51,191236.6
000008.SZ,20191127,3.51,3.53,3.47,3.49,227859.31
000008.SZ,20191128,3.5,3.51,3.47,3.48,162783.09
000008.SZ,20191129,3.49,3.51,3.47,3.51,147890.03
000008.SZ,20191202,3.52,3.54,3.49,3.52,129144.22
000008.SZ,20191203,3.52,3.52,3.48,3.52,98012.09
000008.SZ,20191204,3.53,3.59,3.51,3.57,227273.9
000008.SZ,20191205,3.58,3.77,3.55,3.69,559154.86
000008.SZ,20191206,3.73,3.85,3.69,3.82,611924.7
000008.SZ,20191209,3.87,3.9,3.66,3.67,638867.77
000008.SZ,20191210,3.67,3.73,3.62,3.68,394747.05
000008.SZ,20191211,3.66,3.67,3.6,3.64,234679.23
000008.SZ,20191212,3.64,3.66,3.57,3.57,287827.27
000008.SZ,20191213,3.58,3.62,3.58,3.61,311548.71
000008.SZ,20191216,3.64,3.64,3.56,3.62,406839.74
000008.SZ,20191217,3.61,3.69,3.59,3.69,480272.5
000008.SZ,20191218,3.67,3.73,3.66,3.67,345409.73
000008.SZ,20191219,3.68,3.72,3.66,3.71,253090.6
000008.SZ,20191220,3.7,3.71,3.65,3.65,284383.56
000008.SZ,20191223,3.66,3.74,3.61,3.63,395794.78
000008.SZ,20191224,3.63,3.65,3.56,3.62,343008.08
000008.SZ,20191225,3.62,3.64,3.6,3.62,189553.42
000008.SZ,20191226,3.63,3.64,3.6,3.63,177466.33
000008.SZ,20191227,3.65,3.68,3.62,3.63,248982.17
000008.SZ,20191230,3.62,3.64,3.57,3.61,247484.54
000008.SZ,20191231,3.62,3.64,3.61,3.63,156918.49
000008.SZ,20200102,3.66,3.71,3.64,3.71,377467.9
000008.SZ,20200103,3.72,3.75,3.7,3.75,310728.28
000008.SZ,20200106,3.76,3.79,3.71,3.73,349983.44
000008.SZ,20200107,3.75,3.79,3.73,3.79,317230.07
000008.SZ,20200108,3.77,3.83,3.71,3.72,375007.93
000008.SZ,20200109,3.75,3.81,3.74,3.77,304919.63
000008.SZ,20200110,3.8,3.81,3.75,3.76,208852.22
000008.SZ,20200113,3.75,3.76,3.7,3.74,242298.36
000008.SZ,20200114,3.75,3.84,3.75,3.78,353841.48
000008.SZ,20200115,3.79,3.79,3.7,3.71,258067.33
000008.SZ,20200116,3.73,3.74,3.6,3.61,418172.34
000008.SZ,20200117,3.6,3.64,3.58,3.58,239403.58
000008.SZ,20200120,3.57,3.63,3.55,3.61,206043.87
000008.SZ,20200121,3.6,3.6,3.52,3.53,260821.77
000008.SZ,20200122,3.52,3.53,3.42,3.5,235127.46
000008.SZ,20200123,3.49,3.5,3.38,3.42,254384.97
000008.SZ,20200203,3.08,3.08,3.08,3.08,74616.0
000008.SZ,20200204,2.77,2.97,2.77,2.95,549886.89
000008.SZ,20200205,2.95,3.09,2.93,3.04,384704.81
000008.SZ,20200206,3.04,3.07,3.0,3.05,269263.65
000008.SZ,20200207,3.04,3.07,3.01,3.05,249163.67
000008.SZ,20200210,3.05,3.15,3.04,3.13,284092.23
000008.SZ,20200211,3.13,3.15,3.11,3.12,191646.16
000008.SZ,20200212,3.12,3.14,3.1,3.14,201407.21
000008.SZ,20200213,3.14,3.17,3.1,3.11,209356.99
000008.SZ,20200214,3.1,3.12,3.05,3.07,226426.43
000008.SZ,20200217,3.1,3.25,3.09,3.23,484404.16
